Scheme Name,Eligibility,Details,Apply Link,Age,Gender,State,Occupation,Category
National Urban Health Mission,Urban population,Provide primary healthcare services to urban population,https://nhm.gov.in/,All,All,Urban Areas,Any,All
Janani Suraksha Yojana,Pregnant women from low-income families,Reduce maternal and infant mortality by promoting institutional delivery,https://nhm.gov.in/janani-suraksha-yojana.htm,19-45,Female,All India,Any,BPL/SC/ST
Janani Shishu Suraksha Karyakram,Pregnant women and sick infants,Entitles pregnant women to free delivery and sick infants to free treatment,https://nhm.gov.in/janani-shishu-suraksha-karyakram.htm,19-45 (women)/0-1 (infants),Female (mothers)/All (infants),All India,Any,All
Rashtriya Swasthya Bima Yojana,BPL families,Health insurance scheme for BPL families,https://www.india.gov.in/spotlight/rashtriya-swasthya-bima-yojana,All,All,All India,Any,BPL
National Food Security Mission,Farmers,Increase production of rice wheat pulses and coarse cereals,https://www.nfsm.gov.in/,18+,All,All India,Farmer,All
Mission for Integrated Development of Horticulture,Farmers,Promote holistic growth of horticulture sector,https://midh.gov.in/,18+,All,All India,Farmer,All
National Bamboo Mission,Farmers and entrepreneurs in bamboo sector,Promote holistic growth of bamboo sector,https://nbm.nic.in/,18+,All,All India,Farmer/Entrepreneur,All
National Livestock Mission,Livestock farmers,Sustainable development of livestock sector,https://dahd.nic.in/schemes/state-sector-schemes/national-livestock-mission,18+,All,All India,Livestock Farmer,All
Pradhan Mantri Krishi Sinchayee Yojana,Farmers,Improve farm productivity through assured irrigation,https://pmksy.gov.in/,18+,All,All India,Farmer,All
Soil Health Card Scheme,Farmers,Provide information on soil health to farmers,https://soilhealth.dac.gov.in/,18+,All,All India,Farmer,All
e-NAM (National Agriculture Market),Farmers,Online trading platform for agricultural commodities,https://www.enam.gov.in/,18+,All,All India,Farmer,All
Pradhan Mantri Gram Sadak Yojana,Rural communities,Provide all-weather road connectivity to unconnected habitations,https://pmgsy.nic.in/,NA,NA,Rural Areas,NA,NA
Shyama Prasad Mukherji Rurban Mission,Rural clusters,Develop rural areas by providing urban amenities,https://rurban.gov.in/,NA,NA,Selected Clusters,NA,NA
Mahatma Gandhi National Rural Employment Guarantee Act,Rural households,Guarantees 100 days of wage employment in a financial year,https://nrega.nic.in/,18+,All,Rural Areas,Rural Worker,All
Deendayal Upadhyaya Gram Jyoti Yojana,Rural households,Rural electrification scheme,https://www.ddugjy.gov.in/,NA,NA,Rural Areas,NA,NA
Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana),Un-electrified households,Universal household electrification,https://saubhagya.gov.in/,NA,NA,All India,NA,All
UJALA (Unnat Jyoti by Affordable LEDs for All),All households,Promote efficient lighting through LEDs,https://www.ujala.gov.in/,18+,All,All India,Any,All
Jal Jeevan Mission,Rural households,Provide functional tap connection to every rural household,https://jaljeevanmission.gov.in/,NA,NA,Rural Areas,NA,NA
Swadesh Darshan,Tourism sector,Integrated development of theme-based tourist circuits,https://swadeshdarshan.gov.in/,NA,NA,Selected States,Tourism Industry,NA
PRASAD (Pilgrimage Rejuvenation and Spiritual Heritage Augmentation Drive),Religious tourism,Develop and identify pilgrimage sites across India,https://prasad.gov.in/,NA,NA,Selected Cities,Tourism Industry,NA
National Heritage City Development and Augmentation Yojana,Urban local bodies with heritage sites,Preserve and revitalize heritage cities,https://mohua.gov.in/cms/hriday.php,NA,NA,Selected Cities,NA,NA
Khelo India,Sports persons aged under 17,Develop sports at grass-root level,https://kheloindia.gov.in/,Aug-17,All,All India,Sports Person,All
National Service Scheme,College students,Personality development through community service,https://nss.gov.in/,17-25,All,All India,Student,All
Rashtriya Yuva Sashaktikaran Karyakram,Youth,Youth empowerment scheme,https://www.india.gov.in/spotlight/rashtriya-yuva-sashaktikaran-karyakram-rysk,15-29,All,All India,Youth,All
Pradhan Mantri Vaya Vandana Yojana,Senior citizens aged 60 years and above,Pension scheme for senior citizens,https://www.licindia.in/Products/Pension-Plans/Pradhan-Mantri-Vaya-Vandana-Yojana,60+,All,All India,Senior Citizen,All
Swadhar Greh,Women in difficult circumstances,Rehabilitation of women in difficult circumstances,https://wcd.nic.in/schemes/swadhar-greh-scheme-women-difficult-circumstances,18+,Female,All India,Women in distress,All
Support to Training and Employment Programme for Women,Women,Skill development and employment for women,https://www.nitiforstates.gov.in/best-practice-detail?id=106334,18+,Female,All India,Any,All
Working Women Hostel,Working women,Safe and affordable accommodation for working women,https://wcdhry.gov.in/schemes-for-women/working-women-hostel/,18+,Female,All India,Working Women,All
One Stop Centre Scheme,Women affected by violence,Support women affected by violence,https://wcd.nic.in/schemes/one-stop-centre-scheme-1,All,Female,All India,Women affected by violence,All
Mahila Shakti Kendra,Rural women,Empower rural women through community participation,https://msme.gov.in/node/1769,18+,Female,Rural Areas,Any,All
Pradhan Mantri Matru Vandana Yojana,Pregnant and lactating mothers,Maternity benefit program providing partial compensation for wage loss,https://wcd.nic.in/schemes/pradhan-mantri-matru-vandana-yojana,19+,Female,All India,Any,All
National Creche Scheme,Children of working mothers,Provide day-care facilities for children of working mothers,https://wcd.nic.in/schemes/national-creche-scheme,0-6 (children),Female (mothers),All India,Working Women,All
Rashtriya Mahila Kosh,Poor women,Micro-credit organization for women,https://pib.gov.in/PressReleasePage.aspx?PRID=1742800,18+,Female,All India,Low Income,All
Nai Roshni,Minority women,Leadership development of minority women,https://nairoshni.minorityaffairs.gov.in/,18+,Female,All India,Any,Minorities
Pradhan Mantri Adarsh Gram Yojana,Villages with significant SC population,Integrated development of SC majority villages,https://socialjustice.gov.in/schemes/27,NA,NA,Selected Villages,NA,SC
Venture Capital Fund for Scheduled Castes,SC entrepreneurs,Promote entrepreneurship among Scheduled Castes,https://socialjustice.gov.in/schemes/29,18+,All,All India,Entrepreneur,SC
Credit Enhancement Guarantee Scheme for Scheduled Castes,SC entrepreneurs,Guarantee scheme to promote entrepreneurship among Scheduled Castes,https://socialjustice.gov.in/schemes/30,18+,All,All India,Entrepreneur,SC
National Scheduled Castes Finance and Development Corporation,SC individuals below double the poverty line,Financial assistance for income-generating activities,https://www.nsfdc.nic.in/,18+,All,All India,Any,SC
Post-Matric Scholarship for SC Students,SC students pursuing post-matriculation education,Financial assistance for education,https://scholarships.gov.in/,16+,All,All India,Student,SC
Pre-Matric Scholarship for SC Students,SC students studying in classes 9-10,Financial assistance for education,https://scholarships.gov.in/,14-16,All,All India,Student,SC
Pradhan Mantri Adarsh Gram Yojana,Villages with significant SC population,Integrated development of SC majority villages,https://socialjustice.gov.in/schemes/27,NA,NA,Selected Villages,NA,SC
National Fellowship for SC Students,SC students pursuing higher education,Financial support for higher education,https://socialjustice.gov.in/schemes/29,21+,All,All India,Student,SC
Self Employment Scheme for Rehabilitation of Manual Scavengers,Manual scavengers and their dependents,Rehabilitation of manual scavengers,https://socialjustice.gov.in/schemes/25,18+,All,All India,Manual Scavenger,NA
Pre-Matric Scholarship for ST Students,ST students studying in classes 9-10,Financial assistance for education,https://tribal.nic.in/,14-16,All,All India,Student,ST
Post-Matric Scholarship for ST Students,ST students pursuing post-matriculation education,Financial assistance for education,https://tribal.nic.in/,16+,All,All India,Student,ST
National Overseas Scholarship for ST Students,ST students pursuing higher education abroad,Financial support for studying abroad,https://tribal.nic.in/,18-35,All,All India,Student,ST
National Fellowship for ST Students,ST students pursuing higher education,Financial support for higher education,https://tribal.nic.in/,21+,All,All India,Student,ST
Tribal Research Institutes,ST communities,Research and documentation of tribal culture,https://tribal.nic.in/,NA,NA,Selected States,NA,ST
Vanbandhu Kalyan Yojana,Tribal population,All-round development of tribal areas,https://tribal.nic.in/,NA,NA,Tribal Areas,Any,ST
Nai Manzil,Minorities,Education and skill development of minorities,https://minorityaffairs.gov.in/schemes/nai-manzil,17-35,All,All India,Any,Minorities
Maulana Azad National Fellowship,Minority students,Fellowship for minority students,https://www.minorityaffairs.gov.in/show_content.php?lang=1&level=1&ls_id=625&lid=107,21+,All,All India,Student,Minorities
Seekho aur Kamao,Minorities,Skill development initiative for minorities,https://minorityaffairs.gov.in/schemes/seekho-aur-kamao,14+,All,All India,Any,Minorities
USTTAD (Upgrading the Skills and Training in Traditional Arts/Crafts for Development),Minorities,Preserve and promote traditional arts and crafts of minorities,https://minorityaffairs.gov.in/schemes/usttad,18+,All,All India,Artisan/Craftsperson,Minorities
Pradhan Mantri Jan Vikas Karyakram,Minorities,Socio-economic development of minority concentrated areas,https://minorityaffairs.gov.in/schemes/pradhan-mantri-jan-vikas-karyakram-pmjvk,NA,NA,Minority Concentrated Areas,NA,Minorities
Hamari Dharohar,Minorities,Preserve rich heritage of minority communities,https://minorityaffairs.gov.in/schemes/hamari-dharohar,NA,NA,All India,NA,Minorities
Jiyo Parsi,Parsi community,Increase the population of Parsi community,https://minorityaffairs.gov.in/schemes/jiyo-parsi,18+,All,All India,NA,Parsi
Pre-Matric Scholarship for Minorities,Minority students studying in classes 1-10,Financial assistance for education,https://scholarships.gov.in/,May-16,All,All India,Student,Minorities
Post-Matric Scholarship for Minorities,Minority students pursuing post-matriculation education,Financial assistance for education,https://scholarships.gov.in/,16+,All,All India,Student,Minorities
Merit-cum-Means Scholarship for Professional and Technical Courses,Minority students in professional courses,Financial assistance for professional education,https://scholarships.gov.in/,16+,All,All India,Student,Minorities
Padho Pardesh,Minority students pursuing higher education abroad,Interest subsidy on education loans for overseas studies,https://minorityaffairs.gov.in/schemes/padho-pardesh,18-35,All,All India,Student,Minorities
Credit Line to National Minorities Development and Finance Corporation,Minorities with annual family income less than double the poverty line,Credit support to minorities for self-employment,https://www.nmdfc.org/,18+,All,All India,Any,Minorities
Skill Development Initiative for Minorities,Minorities,Skill training for minorities for employment and self-employment,https://minorityaffairs.gov.in/,18+,All,All India,Any,Minorities
Garib Nawaz Employment Scheme,Minorities,Employment oriented skill development training,https://minorityaffairs.gov.in/schemes/garib-nawaz-employment-scheme,14+,All,All India,Any,Minorities
Education Scheme for Madrasas and Minorities,Minority educational institutions,Financial assistance to madrasas and minority educational institutions,https://minorityaffairs.gov.in/,NA,NA,All India,NA,Minorities
Uchchatar Avishkar Yojana,Students and researchers,Promote innovation in higher education,https://uay.gov.in/,18+,All,All India,Student/Researcher,All
IMPRINT (Impacting Research Innovation and Technology),Academic and research institutions,Fund research in premier academic institutions,https://imprint-india.org/,NA,NA,All India,NA,NA
Rashtriya Uchchatar Shiksha Abhiyan,Higher education institutions,Improve access equity and quality in higher education,https://rusa.edu.in/,NA,NA,All India,NA,NA
Global Initiative of Academic Networks,Higher education institutions,Bring international experience in academic and research,https://gian.iitkgp.ac.in/,NA,NA,All India,NA,NA
Unnat Bharat Abhiyan,Higher education institutions,Connect institutions of higher education with local communities,https://unnatbharatabhiyan.gov.in/,NA,NA,All India,NA,NA
Impactful Policy Research in Social Science,Researchers in social sciences,Funding for policy-relevant research in social sciences,https://icssr.org/iprisscheme,NA,NA,All India,Researcher,NA
National Digital Library,Students and learners,Virtual repository of learning resources,https://ndl.iitkgp.ac.in/,All,All,All India,Student/Learner,All
SWAYAM (Study Webs of Active-Learning for Young Aspiring Minds),Students and learners,Online courses for education,https://swayam.gov.in/,All,All,All India,Student/Learner,All
E-Shodh Sindhu,Academic institutions,Access to electronic journals and databases,https://ess.inflibnet.ac.in/,NA,NA,All India,Academic Institution,NA
National Agricultural Higher Education Project,Agricultural universities,Strengthen agricultural education system,https://nahep.icar.gov.in/,NA,NA,All India,NA,NA
Shaala Siddhi,Schools,School quality assessment and improvement,https://shaalasiddhi.niepa.ac.in/,NA,NA,All India,NA,NA
Operation Digital Board,Educational institutions,Smart classrooms in higher education institutions,https://www.education.gov.in/en/odb,NA,NA,All India,NA,NA
Scheme for Higher Education Youth in Apprenticeship and Skills,Higher education graduates,Industry apprenticeship opportunities for general graduates,https://shreyas.gov.in/,21-30,All,All India,Graduate,All
Vidyanjali,Government and government-aided schools,School volunteer management program,https://vidyanjali.education.gov.in/,18+,All,All India,Any,All
PM SHRI (PM Schools for Rising India),Government schools,Upgrade selected schools into exemplary schools,https://pmshri.education.gov.in/,NA,NA,All India,NA,NA
National Initiative for School Heads and Teachers Holistic Advancement,School teachers and principals,Teacher training program,https://itpd.ncert.gov.in/login,21+,All,All India,Teacher,All
Samagra Shiksha Abhiyan,School education sector,Unified program for school education,https://samagra.education.gov.in/,NA,NA,All India,NA,NA
YUVA: Prime Minister's Scheme for Mentoring Young Authors,Young authors,Mentorship program for young authors,https://yuva.gov.in/,30 and below,All,All India,Writer/Author,All
National Mission on Libraries,Library users,Develop library system and promote reading habit,https://nmlindia.nic.in/,NA,NA,All India,NA,All
National Book Trust Schemes,Readers/authors/publishers,Promote books and reading habit,https://nbtindia.gov.in/,All,All,All India,Any,All
Study in India,Foreign students,Attract foreign students to study in India,https://studyinindia.gov.in/,18+,All,International,Student,All
National Career Service,Job seekers and employers,Employment exchange portal,https://www.ncs.gov.in/,18+,All,All India,Job Seeker,All
Pradhan Mantri Wi-Fi Access Network Interface,Citizens,Public WiFi networks across the country,https://pmwani.gov.in/,All,All,All India,Any,All
BharatNet,Rural areas,Broadband connectivity to all gram panchayats,https://bbnl.nic.in/,NA,NA,Rural Areas,NA,NA
Jeevan Pramaan,Pensioners,Digital life certificate for pensioners,https://jeevanpramaan.gov.in/,Pensioners,All,All India,Pensioner,All
DigiLocker,Citizens,Online document storage platform,https://digilocker.gov.in/,18+,All,All India,Any,All
UMANG (Unified Mobile Application for New-age Governance),Citizens,Single platform for all government services,https://web.umang.gov.in/,18+,All,All India,Any,All
National Scholarship Portal,Students,Single portal for all scholarship schemes,https://scholarships.gov.in/,Varies by scheme,All,All India,Student,All
e-Hospital,Patients,Online registration and appointment for hospitals,https://ehospital.gov.in/,All,All,All India,Any,All
National Health Portal,Citizens,Health information portal,https://www.nhp.gov.in/,All,All,All India,Any,All
Pradhan Mantri Digital Health Mission,Citizens,Digital health ID and health records,https://ndhm.gov.in/,All,All,All India,Any,All
Ayushman Bharat Digital Mission,Citizens,Digital health infrastructure,https://abdm.gov.in/,All,All,All India,Any,All
Co-WIN,Citizens,COVID-19 vaccine registration portal,https://www.cowin.gov.in/,All,All,All India,Any,All
National Apprenticeship Promotion Scheme,Unemployed youth,Promote apprenticeship training,https://apprenticeshipindia.gov.in/,18+,All,All India,Unemployed,All
Skill Acquisition and Knowledge Awareness for Livelihood Promotion,Rural youth,Skill development initiative for rural youth,https://sankalp.msde.gov.in/,15-35,All,Rural Areas,Unemployed,All
Pradhan Mantri Kaushal Kendra,Unemployed youth,Skill development centers,https://pmkvy.nsdcindia.org/,15-45,All,All India,Unemployed,All
Scheme for Capacity Building in Textile Sector,Workers in textile sector,Skill development in textile sector,https://samarth.texmin.gov.in/,18+,All,All India,Textile Worker,All
Pradhan Mantri Rojgar Protsahan Yojana,New employees in formal sector,Government pays employer contribution to EPF and EPS,https://labour.gov.in/pm-rojgar-protsahan-yojana,18+,All,All India,New Employee,All
Prime Minister's Employment Generation Programme,Individuals above 18 years,Credit-linked subsidy for setting up micro enterprises,https://msme.gov.in/schemes/pm-employment-generation-program-and-other-credit-support-schemes,18+,All,All India,Entrepreneur,All
Credit Guarantee Fund Trust for Micro and Small Enterprises,Micro and small enterprises,Credit guarantee for loans to MSMEs,https://www.cgtmse.in/,18+,All,All India,MSME Owner,All
Scheme of Fund for Regeneration of Traditional Industries,Traditional artisans and micro enterprises,Promote cluster-based development of traditional industries,https://sfurti.msme.gov.in/,18+,All,All India,Artisan,All
A Scheme for Promotion of Innovation Rural Industry & Entrepreneurship,Rural entrepreneurs,Promote innovation and entrepreneurship in rural areas,https://aspire.msme.gov.in/,18+,All,Rural Areas,Entrepreneur,All
ZED (Zero Defect Zero Effect) Certification Scheme,MSMEs,Quality certification for MSMEs,https://zed.msme.gov.in/,18+,All,All India,MSME Owner,All
Solar Charkha Mission,Artisans and unemployed youth,Employment generation through solar charkhas,https://msme.gov.in/sites/default/files/SolarCharkha_Guidelines-final.pdf,18+,All,All India,Artisan/Unemployed,All
Honey Mission,Farmers and unemployed youth,Promote beekeeping as sustainable employment,https://kvic.org.in/kvicres/honey-mission,18+,All,All India,Farmer/Unemployed,All
Scheme for Promotion of MSMEs in NE Region and Sikkim,MSMEs in North East and Sikkim,Financial assistance to MSMEs in NE region,https://msme.gov.in/,18+,All,NE Region & Sikkim,MSME Owner,All
Credit Linked Capital Subsidy Scheme,MSMEs,Technology upgradation for MSMEs,https://clcss.dcmsme.gov.in/,18+,All,All India,MSME Owner,All
MSME Cluster Development Programme,MSMEs,Infrastructure development in MSME clusters,https://cluster.dcmsme.gov.in/,NA,NA,All India,NA,NA
Marketing Assistance Scheme,MSMEs,Marketing support to MSMEs,https://www.nsic.co.in/schemes/MarketingAssistance,18+,All,All India,MSME Owner,All
Lean Manufacturing Competitiveness Scheme,MSMEs,Improve manufacturing processes in MSMEs,https://lean.dcmsme.gov.in/,18+,All,All India,MSME Owner,All
Design Clinic Scheme,MSMEs,Design expertise to MSMEs,https://designclinic.dcmsme.gov.in/,18+,All,All India,MSME Owner,All
Digital MSME Scheme,MSMEs,Adoption of ICT tools by MSMEs,https://digitalmsme.gov.in/,18+,All,All India,MSME Owner,All
MSME Samadhaan,MSMEs,Delayed payment monitoring system for MSMEs,https://samadhaan.msme.gov.in/,18+,All,All India,MSME Owner,All
Udyam Registration,MSMEs,Registration portal for MSMEs,https://udyamregistration.gov.in/,18+,All,All India,MSME Owner,All
GEM (Government e-Marketplace),Sellers and service providers to government,Online marketplace for government procurement,https://gem.gov.in/,18+,All,All India,Vendor,All
Atal Innovation Mission,Students and entrepreneurs,Promote innovation and entrepreneurship,https://aim.gov.in/,All,All,All India,Student/Entrepreneur,All
Pradhan Mantri Garib Kalyan Anna Yojana,NFSA beneficiaries,Free foodgrains to poor families,https://pmgkay.in/,All,All,All India,Any,BPL
Annapurna Scheme,Senior citizens without regular income,Free food grains to destitute senior citizens,https://nsap.nic.in/,65+,All,All India,Senior Citizen,BPL
NTR Bharosa,Senior citizens/widows/disabled,Pension scheme for vulnerable sections,https://gramawardsachivalayam.ap.gov.in/,60+ (elderly)/18+ (disabled)/widows,All,Andhra Pradesh,Any,All
Amma Vodi,Mothers with school-going children,Financial assistance of Rs. 15,000 per annum to mothers for children's education,https://ammavodi.ap.gov.in/,NA,Andhra Pradesh,Female,Any
YSR Cheyutha,Women aged 45-60 from SC/ST/BC/Minority communities,Financial assistance of Rs. 75,000 over four years,https://ysrcheyutha.ap.gov.in/,45-60,Andhra Pradesh,Female,Any
YSR Asara,Women Self Help Groups,Loan waiver for women SHGs,https://apserp.ap.gov.in/,18+,Female,Andhra Pradesh,Any,All
YSR Rythu Bharosa,Farmers,Financial assistance to farmer families,https://services.india.gov.in/service/detail/ysr-raithu-bharosa-new-farmer-registration-andhra-pradesh-1,18+,All,Andhra Pradesh,Farmer,All
Orunodoi Scheme,Low-income households,Monthly financial assistance of Rs. 1,0,https://orunodoi.assam.gov.in/,18+,Assam,All,Any
Arundhati Gold Scheme,Newly married couples,Financial assistance for purchasing gold for marriage,https://wptbc.assam.gov.in/schemes-arundhati,18+,Female,Assam,Any,All
Pragyan Bharati Scheme,College students,Financial assistance for textbooks,https://directorateofhighereducation.assam.gov.in/,18+,All,Assam,Student,All
Chief Minister's Special Scheme for Empowerment of Tea Tribes,Tea tribe communities,Development schemes for tea garden workers,https://ttwd.assam.gov.in/schemes,18+,All,Assam,Tea Garden Worker,Tea Tribes
Re-SVAYEM (Swami Vivekananda Assam Youth Empowerment),Unemployed youth,Self-employment opportunities for youth,https://industries.assam.gov.in/,18-35,All,Assam,Unemployed,All
Mukhyamantri Kanya Utthan Yojana,Girl child,Financial assistance for girl child from birth to graduation,https://www.wcd.bih.nic.in/,0-21,Female,Bihar,NA,All
Mukhyamantri Vridhajan Pension Yojana,Senior citizens,Pension scheme for elderly who are not covered under other schemes,https://www.myscheme.gov.in/schemes/mvpy-bihar,60+,All,Bihar,Any,All
Mukhyamantri Gram Parivahan Yojana,Rural youth,Financial assistance to purchase commercial vehicles for rural transport,https://state.bihar.gov.in/transport/,18-45,All,Bihar,Unemployed,All
Kushal Yuva Program,Youth aged 15-28,Skill development program for youth,https://skillmissionbihar.org/kushal-yuva-program,15-28,All,Bihar,Unemployed,All
Mukhyamantri Gramin Awas Yojana,Rural homeless/poor,Housing scheme for rural poor,https://rdd.bihar.gov.in/,18+,All,Bihar,Any,All
Mukhyamantri Kanya Vivah Yojana,Girls from poor families for marriage,Financial assistance for marriage expenses,https://women-child.cg.gov.in/,18+,Female,Chhattisgarh,Any,All
Swami Atmanand English Medium School Scheme,School students,English medium education in government schools,https://education.cg.gov.in/,May-18,All,Chhattisgarh,Student,All
Godhan Nyay Yojana,Cattle owners/rural households,Purchase of cow dung from cattle owners for vermicompost,https://godhannyay.cg.gov.in/,18+,All,Chhattisgarh,Farmer/Cattle Owner,All
Rajiv Gandhi Kisan Nyay Yojana,Farmers,Financial assistance to farmers for crop production,https://agridept.cg.gov.in/,18+,All,Chhattisgarh,Farmer,All
Rajiv Gandhi Grameen Bhumihin Krishi Mazdoor Nyay Yojana,Landless agricultural laborers,Financial assistance to landless agricultural laborers,https://agridept.cg.gov.in/,18+,All,Chhattisgarh,Agricultural Laborer,All
Jai Bhim Mukhyamantri Pratibha Vikas Yojana,SC/ST/OBC/EWS students,Free coaching for competitive exams,https://scstwelfare.delhigovt.nic.in/,17-30,All,Delhi,Student,SC/ST/OBC/EWS
Ladli Scheme,Girl child,Financial assistance for girl child education,https://wcd.delhi.gov.in/schemes/ladli,0-18,Female,Delhi,NA,All
Delhi Pension Scheme to Women in Distress,Women in distress,Monthly pension to women in distress,https://socialwelfare.delhi.gov.in/,18+,Female,Delhi,Any,All
Chief Minister's Urban Leaders Fellowship Program,Young professionals,Fellowship program for governance reforms,https://cmulf.delhi.gov.in/,21-35,All,Delhi,Professional,All
Business Blasters Program,School students,Seed money for student entrepreneurship projects,https://businessblasters.delhi.gov.in/,16-18,All,Delhi,Student,All
Goa Scholarship Scheme,Students pursuing higher education,Scholarship for higher education,https://www.dhegoa.gov.in/,18+,All,Goa,Student,All
